basicName,subTitleName,rating,openDate,openTime,closeDate,closeTime,recommendStayTime,address,price,label,review,url,img
Shilin Cixian Temple,士林慈諴宮, 4.5/5,['Open daily'],['6:00-22:00'],N/A,N/A,1-2 hours,"No.84 Da'nan Road, Shilin District, Taipei, Taiwan",Free,,"Shilin Ci𫍯 Palace - Also known as Shilin Mazu Temple, formerly known as the Temple of the Queen of Zhilan Street, the main holy mother of heaven, is a temple with two temples, two corridors and two dragon protection plane configuration. Its history dates back to the first year of Qing Jiaqing (1796), and the three ancient temples in Shilin area are the three temples in Ci𫍯 Palace, the old street Shennong Palace and the Zhishanyan Huiji Palace. The only temple building in Taipei that has three exquisite stage stands directly in front of it, and the bluestone mantle in front of the temple extends to the stage, showing the original magnificentness of the temple. Part 2",https://www.trip.com/travel-guide/attraction/taipei/shilin-cixian-temple-22846549?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/1mh6m2215fpf7n13kD5F0_C_180_240_Q70.webp?proc=source%2ftrip
tai bei biao yan yi shu zhong xin,臺北表演藝術中心, 5/5,['Tuesday-Sunday:'],['12:00-21:00'],Monday:,Closed all day,1-2 hours,111台北市士林區劍潭路1號,Free,,"The Taipei Performing Arts Center is a special building with a 1-story underground, 12-story high floor and a novel exterior. The curtain wall system of the main exterior wall of the building consists of S-wave glass, and the exterior walls of the three theaters are made of flat aluminum and arc aluminum. The building contains a 1,500-seat theater, two 800-seat spherical frame and multi-form medium-sized theater, the largest feature is that the three theaters can operate independently. If you need a large performance, you can also combine two of the theaters into a ""super-large theater"" that can accommodate 2550 seats, 65 meters long and 18 meters wide. Part 2",https://www.trip.com/travel-guide/attraction/taipei/city-134056803?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0105712000dsl3mg37F55_C_180_240_Q70.webp?proc=source%2ftrip
美的旅行社有限公司,N/A,N/A,['N/A'],['N/A'],N/A,N/A,N/A,"103, Taiwan, Taipei City, Datong District, Section 3, Chengde Rd, 40號5 樓",Free,,N/A,https://www.trip.com/travel-guide/attraction/taipei/city-147583105?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0102u1200086k28vc0A5C_C_180_240_Q70.webp?proc=source%2ftrip
Taipei International Convention Center,台北國際會議中心(TICC), 4.4/5,['Open daily'],['7:30-22:30'],N/A,N/A,N/A,"1 Hsin-Yi Rd., Sec.5, Taipei 11049, Taiwan",Free,,"It happens to be open to enter, the appearance is not very special, but the decoration inside is still very beautiful, clean and bright space, but there is no exhibition, take two photos and leave, nothing special",https://www.trip.com/travel-guide/attraction/taipei/taipei-international-convention-center-22846550?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0105712000a2p8zal1F86_C_180_240_Q70.webp?proc=source%2ftrip
"Museum of the Institute of History and Philology, Academia Sinica",中央研究院歷史語言研究所, 4.3/5,['N/A'],['N/A'],N/A,N/A,1 hour,"No.130, Section 2, Yanjiuyuan Road, Nangang District, Nangang, Taipei 11529 Taiwan",Free,,"There are many language masters here, and a lot of knowledge has been learned",https://www.trip.com/travel-guide/attraction/taipei/museum-of-the-institute-of-history-and-philology-academia-sinica-24048443?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0ww1f12000chig9r88258_C_180_240_Q70.webp?proc=source%2ftrip
Dahu Park,大湖公園, 4.8/5,['Open daily'],['Open all day'],N/A,N/A,1-2 hours,"No.31, Sec. 5, Chenggong Rd., Neihu Dist., Taipei, Taiwan",Free,,"Walking on the riverbank in the evening - Today is the Great Lakes Park, lucky to enjoy the beautiful scenery reflected on the lake by the fire and clouds. Great Lake Park is located on the east side of the Neihu Basin, adjacent to Bailu Mountain, Yaozhi Wuzhi Mountain, Zhongyong Mountain and other areas covering about 13 hectares, famous for Bailu, waterbird and landscape. part 2",https://www.trip.com/travel-guide/attraction/taipei/dahu-park-24341560?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100q0v000000jr0sgAE7F_C_180_240_Q70.webp?proc=source%2ftrip
Linji Huguo Temple,臨濟護國禪寺, 5/5,['Open daily'],['13:00-17:00;8:30-11:00'],N/A,N/A,N/A,"No. 9號, Yumen St, Zhongshan District, Taipei City, Taiwan 104027",Free,,"Linji Huguo Temple - Nanshan Huguo Linji Temple, an old town, was built in 1900, and was held in 1912 in the Buddhist style. It is the fundamental Taoist field of Linji Zongmiaoxin Temple in Taiwan. The architectural form of Daxiong Pavilion takes the imitation Song-style Buddhist Temple pattern of Japan Jialan. The roof has a positive ridge. The four ridges and four ridges of the rest of the mountain, the temple tube tiles are engraved with the word ""town"". Li Ganlang said that the largest Japanese-era wooden structure in Taiwan was originally located in the West Benyuan Temple in Wanhua District, but after it was burned by the unknown fire, Linji Huguo Temple later lived up to become the largest building. The temple is dedicated to the three worshippers of Sakya (Sakya Buddha, Wenshu Bodhisattva, Puxian Bodhisattva) part 3",https://www.trip.com/travel-guide/attraction/taipei/linji-huguo-temple-73142238?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0ww0c1200094e7bd7273C_C_180_240_Q70.webp?proc=source%2ftrip
Center for Traditional Arts,台灣傳統藝術中心, 4.4/5,['Open daily'],['09:00-18:00'],N/A,N/A,1-3 hours,"No. 201, Section 2, Wubin Road, Wujie Township, Yilan County",$4.00,,"The Traditional Art Center is a theme park that introduces Taiwan's traditional culture. The content is quite rich, not only making Yilan proud, but also making Taiwanese understand Taiwan's historical development and relevant literature, and experiencing the blue wisps of the ancient people who pioneered Taiwan, and at the relaxing moment of tourism. You can learn a lot of knowledge, and count it.",https://www.trip.com/travel-guide/attraction/yilan/center-for-traditional-arts-10524265?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100c0l000000cvwwa0420_C_180_240_Q70.webp?proc=source%2ftrip
Tamsui Customs Officers' Residence,小白宮 清朝, 4.5/5,"['Monday-Friday:', 'Saturday-Sunday:']","['9:30-17:00', '9:30-18:00']",N/A,N/A,0.5-1 hour,"No. 15號, Zhenli St, Tamsui District, New Taipei City, Taiwan 251",Free,,"Former Clearwater Guan Tax Department official residence - also known as the ""Little White House"", built in 1862, has a history of more than 100 years, named after the appearance of the eye-catching Spanish-style white building. Colonial architecture features elevated foundations, verandah (terrace)-like setting around the corner, floor-to-ceiling doors and windows, chimneys, etc.",https://www.trip.com/travel-guide/attraction/new-taipei-city/tamsui-customs-officers-residence-92932?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100b0l000000ctaod2476_C_180_240_Q70.webp?proc=source%2ftrip
Beitou Museum,北投文物館, 4.5/5,['Tuesday-Sunday:'],['10:00-18:00'],Monday:,Closed all day,1-2 hours,"No.32 Youya Road, Beitou District, Taipei, Taiwan",$3.67,,"Beitou Cultural Relic Museum/Founded in the 1920s, the work is exquisite, one of the largest single Japanese-style pure wood buildings in Taiwan. Japanese rule period was a Japanese officer club, once used by the special attack team of the kamikaze, after World War II and became the Ministry of Foreign Affairs Jiashan Guest House, now privately owned, is the exhibition of folk art bone. The tea art museum was built in the 1940s and is small in scale. Its traditional Japanese-style water garden has great architectural artistic value and is a complete complex with the architecture of the cultural relics museum.",https://www.trip.com/travel-guide/attraction/taipei/beitou-museum-22846567?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/fd/tg/g3/M0A/55/C3/CggYGlY7BiaAaF3uABm0g8ddEwo667_C_180_240_Q70.webp?proc=source%2ftrip
NTUH (National Taiwan University Hospital),國立臺灣大學醫學院附設醫院, 5/5,['Open daily'],['09:00-17:00'],N/A,N/A,N/A,"No. 7號, Zhongshan S Rd, Zhongzheng District, Taipei City, Taiwan 100",Free,,"Taida Hospital was founded in 1895, the site was first established in Taidao, Taipei, and in 1898 it was moved to the current site (now known as the West Site or the old building, located at 1 Changde Street) as a wooden building; The tropical building, which was renovated in 1912, was completed in 1921 and is the largest and most modern hospital in Southeast Asia. Due to its long history and beautiful architecture, it was listed as a monument in Taipei City on March 25, 1998.",https://www.trip.com/travel-guide/attraction/taipei/ntuh-134105389?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0100v12000dtzkljqE8BC_C_180_240_Q70.webp?proc=source%2ftrip
Yehliu Ocean World,野柳海洋世界, 4.5/5,"['Monday-Friday:', 'Saturday-Sunday:']","['9:00-17:00', '9:00-17:30']",N/A,N/A,2-3 hours,"No.167-3, Kantung Road, Yehliu Village, Wanli District,, New Taipei 207, Taiwan",$12.51,,"Yeliu is a very beautiful place. There are invincible sea views, and you can also enjoy very special geographical wonders, attracting a lot of tourists. And the many performances of SeaWorld animals are also wonderful",https://www.trip.com/travel-guide/attraction/new-taipei-city/yehliu-ocean-world-23033894?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/10060l000000d2zeu8FE5_C_180_240_Q70.webp?proc=source%2ftrip
TOMORROW X TOGETHER WORLD TOUR < ACT: PROMISE > IN TAIPEI｜Concert｜NTSU Arena,【台北】TOMORROW X TOGETHER 2024《ACT : PROMISE》世界巡迴演唱會,N/A,['Open daily'],['undefined'],N/A,N/A,N/A,"No. 250, Wenhua 1st Road, Guishan District, Taoyuan City",Free,,N/A,https://www.trip.com/travel-guide/attraction/taoyuan/tomorrow-x-together-world-tour-act-promise-in-taipeiconcertntsu-arena-148442971?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0101i12000ehmue0wE3AE_C_180_240_Q70.webp?proc=source%2ftrip
Keelung Port,基隆內港, 4.4/5,['N/A'],['N/A'],N/A,N/A,2-3 hours,"Inner Harbor of Keelung, Taiwan",Free,,"The Keelung City Expo, built with the concept of ""City as the Exhibition Hall"", covers exhibitions, art equipment, market events, wonderful exhibitions, showing the fun of Keelung day and night, and also shows people to see the changes of the city. Part 2",https://www.trip.com/travel-guide/attraction/keelung/keelung-port-87602?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100c1f000001gswyu361B_C_180_240_Q70.webp?proc=source%2ftrip
Artist Teahouse,天空之城, 4.4/5,['Open daily'],['13:30-20:00'],N/A,N/A,1 hour,"No. 308, Qingbian Road, Ruifang Town, Taipei County",Free,,"Hayao Miyazaki has a movie of the same name, City of the Sky. In fact, the mood of traveling varies with the destination. Coming to Jiufen, this city is stagnating with the boom of gold mines. The most you can feel is aftertaste.",https://www.trip.com/travel-guide/attraction/new-taipei-city/artist-teahouse-10530370?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/01A50120009qd5abz81EA_C_180_240_Q70.webp?proc=source%2ftrip
Songshan Ciyou Temple,松山慈祐宮, 4.7/5,['Open daily'],['5:30-22:30'],N/A,N/A,1-2 hours,"No.761 Section 4 Bade Road, Songshan District, Taipei, Taiwan",Free,,"Songshan Cixi Palace - Temple Fanggongzhi records that the foot monk Lin Shouyi chose to sit north to south, look at the four beasts of the mountain, and the current site with rivers behind it after the 18th year of Qianlong in Qing Dynasty Gaozong (1753). The temple was completed in the second year of Qianlong (1757), and the temple was named ""Xikou Mazu Palace"". Later, the name was changed to ""Matsuyama Cixi Palace"". part 2",https://www.trip.com/travel-guide/attraction/taipei/songshan-ciyou-temple-13425818?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/10010d0000006ukwtCC08_C_180_240_Q70.webp?proc=source%2ftrip
"Qingtian St, Da’an District",青田街, 4.9/5,['N/A'],['N/A'],N/A,N/A,N/A,"Da’an District, Taipei City, Taiwan 106",Free,,"Shaowa, once heard this place name, once thought it was located in Japan, later learned that Zhaowa was very close to us, he was in Taipei, but was left in the last century. Today's Zhaohe, has long been scattered because of the division of the area, left a trace of history, fell between Qingtian Street, Wenzhou Street, Yongkang Street, when we stroll these blocks, will unknowingly walk into the memories of Zhaohe. Roaming Zhaowa, walking Qingtian Street, then start from Qingtian Street, Qingtian Street is not long, but a street that will make people reluctant to walk. The shade of the tree covered the street into a green tunnel, the street was rarely crowded with cars, but the bicycles and pedestrians came and went, so when the wind came, there was a sound of green grass and leaves, especially comfortable.",https://www.trip.com/travel-guide/attraction/taipei/qingtian-st-daan-district-33104508?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0105t120008g2mwgn7A34_C_180_240_Q70.webp?proc=source%2ftrip
Fagushan Nongchan Temple,法鼓山 農禪寺, 4.8/5,['Open daily'],['09:00-17:00 (Latest entry time:16:30)'],N/A,N/A,1 hour,"No.89, Lane 65 Daye Road, Baitou, Beitou, Taipei 112 Taiwan",Free,,"Remember me to say that it is very good here. The environment is elegant around, it is a good place for quiet soul. The morning and evening classes are great, the vegetarian food is very nutritious, and the access is very quiet. Thanks for the free stay at the Buddha Temple. There are beds to sleep, food to eat, water to drink, there is a big male temple to worship Buddha, there is a transportation car, all of the above are completely free, but you can not waste faith and provide for, when you cherish blessings, donate some small money to the Buddhist temple, you can not waste the money of the believers. This is causal. A few days ago, I saw the photos of Nongchan Temple shared on the Internet. I was shocked by a quiet beauty here. This time I went to Beitou to walk here. Then go to the hottest water moon pool, the water moon pool leaning against the hall, against the background of the distant mountains, there is a kind of independence and leisure, the hall has no extra gorgeous and not too many colors, simple but solemn, giving people a sense of calmness of the precipitation of the soul.",https://www.trip.com/travel-guide/attraction/taipei/fagushan-nongchan-temple-18700371?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/10070v000000k66159984_C_180_240_Q70.webp?proc=source%2ftrip
Ximending Night Market,西門町夜市, 4.8/5,['Open daily'],['17:00-22:00'],N/A,N/A,N/A,"No. 127, Hanzhong St, Wanhua District, Taipei City, Taiwan 108",Free,,"**Ximending: Taipei's hip shopping**Ximending district is considered to be Taipei's famous commercial district, full of fashion shops, restaurants, bars and entertainment venues. It can be said to be one of the busiest and most fashionable youth centers.",https://www.trip.com/travel-guide/attraction/taipei/ximending-night-market-142447847?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0102a12000ex0wqs788F5_C_180_240_Q70.webp?proc=source%2ftrip
gu gong,故宮,N/A,['N/A'],['N/A'],N/A,N/A,N/A,111台灣台北市士林區至善路二段221號,Free,,N/A,https://www.trip.com/travel-guide/attraction/taipei/city-142310943?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0100q12000f0f1bttD57E_C_180_240_Q70.webp?proc=source%2ftrip
Taipei Mosque,台北清真寺, 4.5/5,['Open daily'],['8:00-16:00'],N/A,N/A,1-2 hours,"No.62 Section 2, Xinsheng South Road, Da'an District, Taipei, Taiwan",Free,,"The architectural style of the main dome of Taipei Mosque is very characteristic, you can consider it.",https://www.trip.com/travel-guide/attraction/taipei/taipei-mosque-10539730?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0104u2234d689sjk1F12A_C_180_240_Q70.webp?proc=source%2ftrip
Taiwan Railway Steam locomotive No. LDK58,台鐵LDK58蒸氣火車, 5/5,['Open daily'],['Open all day'],N/A,N/A,N/A,"Taipei station, No. 3, Beiping W Rd, Zhongzheng District, Taipei City, Taiwan 100",Free,,Old steam engine train at Taipei Central Station is used as a meeting place for many people~^^,https://www.trip.com/travel-guide/attraction/taipei/taiwan-railway-steam-locomotive-no-ldk58-58348064?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0ww58120009461gy3C775_C_180_240_Q70.webp?proc=source%2ftrip
The Ch'ien Mu House,錢穆故居, 4.6/5,['Tuesday-Sunday:'],['09:00-17:00'],Monday:,Closed all day,1-3 hours,"Linxi Rd, Shilin District, Taipei City, Taiwan 111",Free,,"The former residence is in the inner of Dongwu University. There are not many people to visit, but I really recommend everyone to visit. The generation of masters is very worth remembering. You can come after visiting the Taipei Forbidden City.",https://www.trip.com/travel-guide/attraction/taipei/the-ch-ien-mu-house-13425830?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0ww5o12000946hdrfD47A_C_180_240_Q70.webp?proc=source%2ftrip
yuan tai bei xing wu suo guan she - li shi jian zhu,原台北刑務所官舍-歷史建築, 5/5,['Open daily'],['11:00-21:00'],N/A,N/A,1-2 hours,台北市大安區杭州南路二段53-6號,Free,,Taipei Prison Service - The high-end official house attached to Taipei Prison Service during the Japanese period is the first large-scale public building program launched by the Japanese government outside Taipei since 1895. The Taipei Prison Service is the predecessor of Taipei Prison and an important historical area of Taipei Prison Service. Part 7,https://www.trip.com/travel-guide/attraction/taipei/city-134777017?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0101012000dtynlkwD6B0_C_180_240_Q70.webp?proc=source%2ftrip
BAMBI LAND,斑比山丘, 4.8/5,['Open daily'],['10:00-17:00 (Latest entry time:16:30)'],N/A,N/A,1.5-2 hours,269台灣宜蘭縣冬山鄉下湖路285號,$8.18,,"In addition to Banbi, there is a water dolphin, and tickets can be exchanged for pasture. The animals in the park are quite clean, and there are pastures in the hands, and they are very loved ones (laughs). Compared with Zhang Mei'ao Farm, although there are fewer types of animals, the environment is much better. The things in the small store are also quite exquisite, Wenqing style, and the attached double cream shop Meimeizi is also worth eating.",https://www.trip.com/travel-guide/attraction/yilan/bambi-land-135932486?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0106d2215dmnyug742478_C_180_240_Q70.webp?proc=source%2ftrip
Shung Ye Museum of Formosan Aborigines,順益台灣原住民博物館, 4.7/5,['Tuesday-Sunday:'],['9:00-17:00'],Monday:,Closed all day,N/A,"No. 282, Sec 2, Zhi Shan Rd, Shilin District, Taipei City, Taiwan 111",$12.52,,"More distinctive, worth visiting!",https://www.trip.com/travel-guide/attraction/taipei/shung-ye-museum-of-formosan-aborigines-70346677?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0ww0p12000946ykp8556A_C_180_240_Q70.webp?proc=source%2ftrip
Jimmy’s Moon Bus,幾米月亮公車, 4.6/5,['Tuesday-Sunday:'],['9:00-21:00'],N/A,N/A,0.5-1 day,"No. 100, Section 5, Xinyi Rd, Xinyi District, Taipei City, Taiwan 110",Free,,"Drop by when visiting Taipei 101, it's just across the street. A bit surreal but it has a charm of sorts, including for quaint pictures.",https://www.trip.com/travel-guide/attraction/taipei/jimmys-moon-bus-24654395?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100h0x000000l3xsmE219_C_180_240_Q70.webp?proc=source%2ftrip
Zhongshan Hall,台北公會堂, 4.6/5,['Open daily'],['09:00-17:00'],N/A,N/A,1 hour,"No.98 Yanping South Road, Taipei, Taiwan",Free,,"Zhongshan Hall is located on Yanping South Road, Zhongzheng District, Taipei City, Taiwan. It was the first exhibition building in Taiwan. It was completed on November 26, 1936, during the Japanese rule of Taiwan, and was called Taipei Hall. It was a work of well-known Japanese architects. In 1931, the Governor's Office decided to build Taipei Hall (that is, Zhongshan Hall) in the square in front of the Prefectural Bureau of the Ministry of Justice, in honor of the accession of the Emperor Showa. In addition to some of the buildings of the Zhengfu Si'anmen and Qin Chahangtai moved to Yuanshan Zoo (now Taipei City Children's Yule Center yesterday) and the Taipei Botanical Garden, the remaining nearby houses (including Taiwan's Anmen of the Governor) were demolished in August 1932. Construction began in Taipei Hall in December. Completed in December 1936, the construction period was four years. The building was designed by the then Governor's House Camp-Courtwell bracelet.",https://www.trip.com/travel-guide/attraction/taipei/zhongshan-hall-100276?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0102q12000d9eh0wi117D_C_180_240_Q70.webp?proc=source%2ftrip
LOHAS Park,樂活公園, 4.6/5,['Open daily'],['Open all day'],N/A,N/A,N/A,"Lane 61, Kangle Street, Neihu District, Taipei City, Taiwan 114",Free,,The cherry blossom is very gorgeous at night when the lights are one. highly recommended. a must to visit.,https://www.trip.com/travel-guide/attraction/taipei/lohas-park-51634211?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0106o120008eenr1i5FC3_C_180_240_Q70.webp?proc=source%2ftrip
Taipei World Trade Center,台北世界貿易中心, 4.5/5,['Open daily'],['10:00-18:00'],N/A,N/A,2-3 hours,"No. 5, Section 5, Xinyi Rd, Xinyi District, Taipei City, Taiwan 110",Free,,Take the World Trade Center/101 Station Exit and cross the road.,https://www.trip.com/travel-guide/attraction/taipei/taipei-world-trade-center-39522092?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0106a120004e61n89EFAD_C_180_240_Q70.webp?proc=source%2ftrip
Ju Ming Museum,朱銘美術館, 4.7/5,['Tuesday-Sunday:'],['10:00-17:00'],N/A,N/A,1-3 hours,"208, Taiwan, New Taipei City, Jinshan District, No. 2, West Lake",$6.57,,"Taiwan is one of the most famous art galleries, and the most famous place of the art gallery is its architecture and outdoor statues, all from the master's handwriting, come to visit to take pictures of people are very many.",https://www.trip.com/travel-guide/attraction/new-taipei-city/ju-ming-museum-101444?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0105e12000b6j715y0859_C_180_240_Q70.webp?proc=source%2ftrip
Plum Garden,梅庭, 4.5/5,['Tuesday-Sunday:'],['10:00-18:00'],Monday:,Closed all day,1-2 hours,"6 Zhongshan Road, Beitou, Taipei, Taiwan",Free,,"Meiting: A luxury Japanese-style house that witnessed the war era, in addition to maintaining the Japanese-style wooden structure style, once the residence of prominent figures of the Japanese-style party, government and army and Mr. Youren's summer resort, is now a historical building in Taipei. part 3",https://www.trip.com/travel-guide/attraction/taipei/plum-garden-18700363?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/fd/tg/g3/M0B/67/21/CggYGVY7E3iAfn2tAC4STzFvOmg234_C_180_240_Q70.webp?proc=source%2ftrip
Chiufen (Jiufen Old Street),基山觀海亭, 4.6/5,['Open daily'],['Open all day'],N/A,N/A,1-3 hours,Intersection of Jiufen Automobile Road and Jishan Street,Free,,"Went to Taiwan 2 times already, really love the place and food. Planning for another trip to Taiwan.",https://www.trip.com/travel-guide/attraction/new-taipei-city/chiufen-96935?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100j0u000000ivwu65FD8_C_180_240_Q70.webp?proc=source%2ftrip
Queen's Head,女王頭, 4.6/5,['Open daily'],['8:00-17:00'],N/A,N/A,1-2 hours,"207, Taiwan, New Taipei City, Wanli District, 港東路167-1號",Free,,"The Queen's Head is a business card for Taiwan tourism. The scorpion is the most representative terrain of the wild willow, especially the noble form of the Queen's head, which has become a symbol of the Wild Willow Geopark. The neck is long, the face is beautiful, and the appearance is like the noble Queen.",https://www.trip.com/travel-guide/attraction/new-taipei-city/queen-s-head-39039835?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0105912000a2p8nud9941_C_180_240_Q70.webp?proc=source%2ftrip
Chii Lih Coral Museum - Taitung,綺麗珊瑚博物館, 4.3/5,['Saturday-Sunday:'],['10:00-17:30'],Monday-Friday:,Closed all day,2-3 hours,"No. 202, Section 2, Zhishan Road, Taipei",Free,,"The first time I visited the Coral Museum, I used to go to the Ocean Park to see it. I didn’t expect there to be a more professional museum. The venue is not big but the exhibits are quite good. Many rare corals have it. The shape is very good.",https://www.trip.com/travel-guide/attraction/taipei/chii-lih-coral-museum-taitung-24652155?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/fd/tg/g5/M07/1B/D7/CggYr1cYgDyAQ1fkAACE7W2s44k041_C_180_240_Q70.webp?proc=source%2ftrip
Chungli,中壢市, 4.4/5,['N/A'],['N/A'],N/A,N/A,0.5-1 day,"Zhongli District, Taoyuan City, Taiwan",Free,,"Coming abroad, it's hard to find a Thai restaurant to eat easily. At Taoyuan, Zhongli District We would like to recommend a Thai restaurant here. The taste is very spicy, very good 9/10 It's authentic Thai taste.",https://www.trip.com/travel-guide/attraction/taoyuan/chungli-70362249?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0ww6u12000chjp50v16CE_C_180_240_Q70.webp?proc=source%2ftrip
Jinguashi 13 Ruins,十三層遺址, 4.7/5,['Open daily'],['Open all day'],N/A,N/A,1-2 hours,"Above Dongdong Bay, Binhai Highway, Ruifang District, New Taipei City",Free,,"I passed the thirteenth floor when I came to the northeast corner to play before, and I thought it was like ..... But this time, after seeing the light news, I quickly arranged a holiday to go to the pilgrimage. It’s really beautiful after lighting on the spot. We are watching the lights at the observation deck of the Shuiyudong parking lot, but this location does not seem to be the best photography point. When we left, we saw a group of photographers and then took pictures on the side of the road in the direction of the Shenzhen-Australia Fishing Port. Friends who want to take pictures can pay attention to it. I have come here before. The parking lot is so big, but it is empty, and there are a few cars parked in scattered. This time I found that there are more tourists. It turned out to be a little light activity recently. I was really surprised. I could have such a special way of showing, but I was too rushed to leave that day. I didn't see the light ... but I really think it is beautiful. Looking at it, it seems to walk into another world. I have the opportunity to witness the 13-story ruins that have been lit up!",https://www.trip.com/travel-guide/attraction/new-taipei-city/jinguashi-13-ruins-38553304?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100i0v000000jo8zu1E29_C_180_240_Q70.webp?proc=source%2ftrip
Kavalan Distillery,金車噶瑪蘭威士忌 酒廠, 5/5,['Open daily'],['9:00-18:00'],N/A,N/A,N/A,"No. 326, Section 2, Yuanshan Road, Yuanshan Township, Yilan County",Free,,"Free tour of the whisky distillery, the hinterland is vast. Previously, 10ml whisky for one person was provided for free, but now it costs an additional 100 yuan, but it can be discounted for wine consumption. The factory has a knowledge of whisky introduction, as well as whisky brewing equipment for visiting, and the overall environment is clean and bright. If you like wine, this is a good place to visit.",https://www.trip.com/travel-guide/attraction/yilan/kavalan-distillery-56809512?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0102n12000dd411ux6C3F_C_180_240_Q70.webp?proc=source%2ftrip
Treasure Hill,寶藏岩國際藝術村, 4.6/5,['Tuesday-Sunday:'],['11:00-22:00'],Monday:,Closed all day,1-3 hours,"No.2, Aly. 14, Ln. 230 Sec. 3, Tingzhou Rd., Taipei, Zhongzheng District, Taipei 100 Taiwan",Free,,"Treasure Rock International Art Village - Its historical axis, in addition to the Treasure Rock Temple, which contains the city's monuments, is more generally referred to the historical settlement that extends from this temple, which was mainly formed by illegal buildings built in the 60s and 70s. These buildings are built by mountains and rivers, scattered and complex, showing the special settlement of Taiwan.",https://www.trip.com/travel-guide/attraction/taipei/treasure-hill-13384463?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100d0z000000n9wyp8CC3_C_180_240_Q70.webp?proc=source%2ftrip
Wenchang Temple,台北市文昌宮, 4.4/5,['Open daily'],['07:00-21:00'],N/A,N/A,30-40 minutes,"No. 9, Lane 45, Minsheng W Rd, Zhongshan District, Taipei City, Taiwan 104",Free,,"Students' children prepare for the exam next week, and accompany them to Taipei Wenchang Palace today to visit, praying for the blessing of Emperor Wenchang, the exam is successful, and admiring the beautifully decorated temple buildings.",https://www.trip.com/travel-guide/attraction/taipei/wenchang-temple-22846542?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100w0y000000ly2186BE8_C_180_240_Q70.webp?proc=source%2ftrip
硫磺谷地熱景觀區（LIUHUANGKU）,N/A, 4.5/5,['Open daily'],['08:00-17:00'],N/A,N/A,N/A,北投區泉源路200號,Free,,"A more famous landscape area in the local area, you can check in and see, not bad.",https://www.trip.com/travel-guide/attraction/taipei/city-90916620?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/1me732215et3yuqa82269_C_180_240_Q70.webp?proc=source%2ftrip
OMG Framing Art Museum,畫框博物館, 5/5,"['Monday-Wednesday,Friday-Sunday:']",['10:30-18:30 (Latest entry time:18:00)'],Thursday:,Closed all day,1-2 hours,"Wujie No. 81, Section 3, Wujie Road",Free,,"Although it is just a small building, it is far from a museum. It is full of surprises. Art frames and body paintings. Friends who like to take beautiful photos or make strange things can show their skills. The guides are kind and DIY. Good interaction. The only small ""frame museum"" in Asia. It is a good attraction for the family to travel with laughter ～",https://www.trip.com/travel-guide/attraction/yilan/omg-framing-art-museum-115241204?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0103z120008gwqqkk9CB9_C_180_240_Q70.webp?proc=source%2ftrip
